# filename|download_url|sha256|family|category|default_strength|trigger
# Curated category coverage. Installed != automatically stacked; runtime routing
# keeps the active stack to 2-3 family-compatible LoRAs.
pony_mature_female_slider_v2.safetensors|https://civitai.com/api/download/models/1969907|53AF6969C5ECD7AED26D44F73A2DBA7549CE76FB32356E655B14F4CC253D3CCD|pony|female|0.35|
pony_gender_transition_slider.safetensors|https://civitai.com/api/download/models/518559|B4290F390036DA023A44B49F4188468BE938EB2ACBD6528BC946E634D46A390B|pony|male,transgender|0.35|
pony_futa_style.safetensors|https://civitai.com/api/download/models/568579|E7115E3D6A483C6404D78AF54F49D179BE0665B1D53D36B80E5A02B1E7738BA7|pony|transgender|0.35|
pony_sex_box_v3.safetensors|https://civitai.com/api/download/models/1769189|C64899CCDFE6ECC9E4BF40DBC73CB441F6B4D3AEBE39A7D108A40CB7C4EC93BE|pony|female,male,transgender|0.45|s3xb0x
pony_girl_size_rank4.safetensors|https://civitai.com/api/download/models/544022|E023A619852C6AC2FEED5484206169B9687A47133979A06233A76BFA7481B0CF|pony|female|0.30|
illustrious_nsfw_slider_v1.safetensors|https://civitai.com/api/download/models/1017934|D6DEB0E995E5694D29FE9571D68235D220E6AF0D79F5FF5576FB3F0AF6B522E3|illustrious|female,male,transgender|0.40|
illustrious_gender_transition_slider.safetensors|https://civitai.com/api/download/models/1981172|862DB60020FC989554E7FAE1E833F5FBA22B8B571BCB338132949EE9C32AB1D9|illustrious|male,transgender|0.35|
illustrious_sex_box_v3.safetensors|https://civitai.com/api/download/models/1769196|26BBD9B3EA9D004620EE801273B6414EDCE4A0B7ABEFBD573C6F0158929B96E0|illustrious|female,male,transgender,anime|0.45|s3xb0x
illustrious_realism_slider_v1.safetensors|https://civitai.com/api/download/models/1681903|42ABFB595AFC7992C91B542849CA2F3DDB4FED44A21CA1036EB530E0F1BEF053|illustrious|female,male,transgender,anime|0.30|
